wordCount_filtered_formatted_w,wordCount_filtered_formatted_c,wordCount_filtered_formatted_pct_c,dateIssued
Journal,1,0.38,2022-10-11
Designation,1,0.38,2022-10-11
Speaker,1,0.38,2022-10-11
Pro,1,0.38,2022-10-11
Withdrawal,1,0.38,2022-10-11
Friday,1,0.38,2022-10-11
A.m.,1,0.38,2022-10-11
Unanimous,1,0.38,2022-10-11
Consent,1,0.38,2022-10-11
Calendar,1,0.38,2022-10-11
2758,1,0.38,2022-10-11
Today,1,0.38,2022-10-11
Text,1,0.38,2022-10-11
Propose,1,0.38,2022-10-11
Tots,1,0.38,2022-10-11
Long,1,0.38,2022-10-11
Commitment,1,0.38,2022-10-11
-recognize,1,0.38,2022-10-11
End,1,0.38,2022-10-11
Covid-19,1,0.38,2022-10-11
Federal,1,0.38,2022-10-11
Employees,1,0.38,2022-10-11
Contractors,1,0.38,2022-10-11
-supporte,1,0.38,2022-10-11
Goals,1,0.38,2022-10-11
Domestic,1,0.38,2022-10-11
Violence,1,0.38,2022-10-11
Awareness,1,0.38,2022-10-11
Month,1,0.38,2022-10-11
-designate,1,0.38,2022-10-11
Day,1,0.38,2022-10-11
Deployed,1,0.38,2022-10-11
-recognizing,1,0.38,2022-10-11
Americans,1,0.38,2022-10-11
Immense,1,0.38,2022-10-11
Steele,1,0.38,2022-10-11
Smith,1,0.38,2022-10-11
States,1,0.38,2022-10-11
Groseclose,1,0.38,2022-10-11
Introductory,1,0.38,2022-10-11
Concurrent,1,0.38,2022-10-11
Resolutions,1,0.38,2022-10-11
Enrol,1,0.38,2022-10-11
Present,1,0.38,2022-10-11
Discharged,1,0.38,2022-10-11
Received,1,0.38,2022-10-11
President,1,0.38,2022-10-11
Defense,1,0.38,2022-10-11
Authorization,1,0.38,2022-10-11
Act,1,0.38,2022-10-11
Legislative,1,0.38,2022-10-11
Session,1,0.38,2022-10-11
Morning,1,0.38,2022-10-11
Leader,1,0.38,2022-10-11
Time,1,0.38,2022-10-11
H.r.,57,19.32,2021-03-02
Constitutional,56,18.98,2021-03-02
Authority,56,18.98,2021-03-02
Statement,56,18.98,2021-03-02
People,3,1.02,2021-03-02
Act,3,1.02,2021-03-02
Pro,3,1.02,2021-03-02
Congressional,3,1.02,2021-03-02
Speaker,2,0.68,2021-03-02
Limited,2,0.68,2021-03-02
Adjournment,2,0.68,2021-03-02
Recess,2,0.68,2021-03-02
Measures,2,0.68,2021-03-02
March,2,0.68,2021-03-02
Human,1,0.34,2021-03-02
Burma,1,0.34,2021-03-02
Recognize,1,0.34,2021-03-02
Carter,1,0.34,2021-03-02
Unite,1,0.34,2021-03-02
Air,1,0.34,2021-03-02
Force,1,0.34,2021-03-02
Colonel,1,0.34,2021-03-02
Exa,1,0.34,2021-03-02
Fay,1,0.34,2021-03-02
Prioritize,1,0.34,2021-03-02
Save,1,0.34,2021-03-02
Funding,1,0.34,2021-03-02
Big,1,0.34,2021-03-02
Money,1,0.34,2021-03-02
Politics,1,0.34,2021-03-02
Honor,1,0.34,2021-03-02
Sacrifice,1,0.34,2021-03-02
K-9,1,0.34,2021-03-02
Officer,1,0.34,2021-03-02
Luna,1,0.34,2021-03-02
Pledge,1,0.34,2021-03-02
Allegiance,1,0.34,2021-03-02
Journal,1,0.34,2021-03-02
Prayer,1,0.34,2021-03-02
Designation,1,0.34,2021-03-02
House,1,0.34,2021-03-02
Representatives,1,0.34,2021-03-02
Earmarks,1,0.34,2021-03-02
Tariff,1,0.34,2021-03-02
Additional,1,0.34,2021-03-02
Sponsors,1,0.34,2021-03-02
Public,1,0.34,2021-03-02
Bills,1,0.34,2021-03-02
Etc,1,0.34,2021-03-02
Budgetary,1,0.34,2021-03-02
Material,1,0.34,2021-03-02
Wednesday,1,0.34,2021-03-02
Calendar,1,0.34,2021-03-02
Tuesday,1,0.34,2021-03-02
Majority,1,0.34,2021-03-02
Appointment,1,0.34,2021-03-02
Acting,1,0.34,2021-03-02
President,1,0.34,2021-03-02
Tempore,1,0.34,2021-03-02
Senate,1,0.34,2021-03-02
Constitutional,30,8.67,2021-03-01
Authority,30,8.67,2021-03-01
Statement,30,8.67,2021-03-01
H.r.,30,8.67,2021-03-01
Senate,22,6.36,2021-03-01
Executive,12,3.47,2021-03-01
Session,10,2.89,2021-03-01
Resolution,8,2.31,2021-03-01
National,4,1.16,2021-03-01
John,4,1.16,2021-03-01
Lewis,4,1.16,2021-03-01
Secretary,4,1.16,2021-03-01
United,3,0.87,2021-03-01
Ffa,3,0.87,2021-03-01
Recognize,3,0.87,2021-03-01
Nonviolent,3,0.87,2021-03-01
House,3,0.87,2021-03-01
Calendar,3,0.87,2021-03-01
Cardona,3,0.87,2021-03-01
Congressional,2,0.58,2021-03-01
Earmarks,2,0.58,2021-03-01
Limited,2,0.58,2021-03-01
Concurrent,2,0.58,2021-03-01
Capitol,2,0.58,2021-03-01
Federal,2,0.58,2021-03-01
Rule,2,0.58,2021-03-01
February,2,0.58,2021-03-01
Robert,2,0.58,2021-03-01
Commending,2,0.58,2021-03-01
Tower,2,0.58,2021-03-01
Civil,2,0.58,2021-03-01
Human,2,0.58,2021-03-01
Cuba,2,0.58,2021-03-01
Representatives,2,0.58,2021-03-01
Joint,2,0.58,2021-03-01
Additional,2,0.58,2021-03-01
Committee,2,0.58,2021-03-01
Measures,2,0.58,2021-03-01
Service,2,0.58,2021-03-01
Business,2,0.58,2021-03-01
Miguel,2,0.58,2021-03-01
Notify,2,0.58,2021-03-01
Tariff,1,0.29,2021-03-01
Confirmation,1,0.29,2021-03-01
Recess,1,0.29,2021-03-01
A.m.,1,0.29,2021-03-01
Tuesday,1,0.29,2021-03-01
March,1,0.29,2021-03-01
Privileges,1,0.29,2021-03-01
Floor,1,0.29,2021-03-01
-recognizing,1,0.29,2021-03-01
Insurrectionist,1,0.29,2021-03-01
States,1,0.29,2021-03-01
January,1,0.29,2021-03-01
-expressing,1,0.29,2021-03-01
Dramatically,1,0.29,2021-03-01
Expand,1,0.29,2021-03-01
Strengthen,1,0.29,2021-03-01
-amending,1,0.29,2021-03-01
Prohibit,1,0.29,2021-03-01
Considered,1,0.29,2021-03-01
-expresse,1,0.29,2021-03-01
Important,1,0.29,2021-03-01
Organization,1,0.29,2021-03-01
-honoring,1,0.29,2021-03-01
Las,1,0.29,2021-03-01
Damas,1,0.29,2021-03-01
De,1,0.29,2021-03-01
Blanco,1,0.29,2021-03-01
Led,1,0.29,2021-03-01
Movement,1,0.29,2021-03-01
Support,1,0.29,2021-03-01
Freedom,1,0.29,2021-03-01
Political,1,0.29,2021-03-01
-establishe,1,0.29,2021-03-01
Rights,1,0.29,2021-03-01
Commission,1,0.29,2021-03-01
Submit,1,0.29,2021-03-01
Resolutions,1,0.29,2021-03-01
Committees,1,0.29,2021-03-01
Petition,1,0.29,2021-03-01
Memorial,1,0.29,2021-03-01
Continuous,1,0.29,2021-03-01
90th,1,0.29,2021-03-01
Library,1,0.29,2021-03-01
Print,1,0.29,2021-03-01
Inaugural,1,0.29,2021-03-01
Permanent,1,0.29,2021-03-01
Subcommittee,1,0.29,2021-03-01
Border,1,0.29,2021-03-01
Emerging,1,0.29,2021-03-01
Threats,1,0.29,2021-03-01
Spend,1,0.29,2021-03-01
Impeachment,1,0.29,2021-03-01
Christina,1,0.29,2021-03-01
Appropriations,1,0.29,2021-03-01
Week,1,0.29,2021-03-01
Funding,1,0.29,2021-03-01
Continue,1,0.29,2021-03-01
Honor,1,0.29,2021-03-01
Cloture,1,0.29,2021-03-01
Motion,1,0.29,2021-03-01
Nomination,1,0.29,2021-03-01
Veterans,1,0.29,2021-03-01
Act,1,0.29,2021-03-01
U.s.,1,0.29,2021-03-01
Postal,1,0.29,2021-03-01
Texas,1,0.29,2021-03-01
A.,1,0.29,2021-03-01
Budget,1,0.29,2021-03-01
Raise,1,0.29,2021-03-01
Minimum,1,0.29,2021-03-01
Morning,1,0.29,2021-03-01
Maiden,1,0.29,2021-03-01
Speech,1,0.29,2021-03-01
Foreign,1,0.29,2021-03-01
American,1,0.29,2021-03-01
Rescue,1,0.29,2021-03-01
Kentucky,1,0.29,2021-03-01
Minority,1,0.29,2021-03-01
S.,1,0.29,2021-03-01
S.j.,1,0.29,2021-03-01
Res,1,0.29,2021-03-01
.,1,0.29,2021-03-01
Voting,1,0.29,2021-03-01
President,1,0.29,2021-03-01
Majority,1,0.29,2021-03-01
Oath,1,0.29,2021-03-01
Leader,1,0.29,2021-03-01
Time,1,0.29,2021-03-01
Pledge,1,0.29,2021-03-01
Allegiance,1,0.29,2021-03-01
Prayer,1,0.29,2021-03-01
